CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
427-51-0,Cyproterone acetate,4.46,6.252,9.884,18.109,0.262807,0.264599,0.266893,,,,
69-74-9,Cytarabine hydrochloride,16.8,1.644,8.072,19.394,26.962364,26.965786,27.084603,,,,
1596-84-5,Daminozide,2.29,0.262,2.259,8.618,2.685493,2.693649,2.777785,,,,
2392-39-4,Dexamethasone sodium phosphate,9.63,5.16,11.207,23.893,2.584905,2.596059,2.620682,,,,
109-43-3,Dibutyl decanedioate,134.0,18.257,33.225,67.523,1.756685,2.779804,4.431088,,,,
97-23-4,Dichlorophen,13.2,18.708,27.116,37.698,0.120813,0.123123,0.126822,,,,
62-73-7,Dichlorvos,86.4,22.077,89.032,391.693,0.519007,0.840908,2.104429,,,,
84-69-5,Diisobutyl phthalate,345.0,30.184,58.727,119.417,0.398589,0.457919,0.568311,,,,
131-18-0,Dipentyl phthalate,301.0,16.278,36.261,84.057,2.948739,2.952834,2.961675,,,,
136-45-8,"Dipropyl 2,5-pyridinedicarboxylate",592.0,20.141,186.286,2621.52,41.716005,41.716005,41.716005,,,,
97-77-8,Disulfiram,28.46,12.944,18.077,25.453,1.121471,1.123291,1.125781,,,,
6533-00-2,Dl-norgestrel,11.0,10.989,17.469,25.0,0.421211,0.422816,0.425959,,,,
24169-02-6,Econazole nitrate,6.02,4.482,8.035,13.445,0.096083,0.10289,0.116298,,,,
361343-19-3,Elzasonan,21.1,11.951,17.854,24.804,1.179306,1.184171,1.192747,,,,
124378-77-4,Enadoline,3.36,4.048,6.948,10.925,1.561834,1.564546,1.569882,,,,
77756-20-8,Enterolactone,139.0,13.066,27.739,50.777,1.666336,1.68575,1.733802,,,,
474-86-2,Equilin,9.74,13.865,19.116,26.217,0.291595,0.292211,0.293072,,,,
52479-85-3,Exifone,28.1,17.339,67.88,227.638,0.002648,0.004377,0.011558,,,,
129299-90-7,Fabesetron hydrochloride,7.56,7.208,13.797,28.393,0.396423,0.40056,0.407918,,,,
131807-57-3,Famoxadone,16.4,31.562,71.301,189.037,0.368925,0.371815,0.377658,,,,
2783-94-0,Fd&c yellow 6,18.9,4.723,7.731,15.903,0.700018,1.326093,2.101784,,,,
49562-28-9,Fenofibrate,563.0,23.503,51.741,167.688,7.350803,7.455494,7.637406,,,,
113776-20-8,Fenoxaprop-(2s)-ethyl,723.0,34.932,76.91,190.288,8.667165,8.775536,8.994105,,,,
71283-80-2,Fenoxaprop-p-ethyl,519.0,35.049,77.762,193.702,7.426848,7.504986,7.664075,,,,
111812-58-9,"Fenpyroximate (z,e)",16.8,13.533,18.78,55.606,0.226232,0.240892,0.249473,,,,
101-42-8,Fenuron,2.89,4.26,8.086,15.053,1.017595,1.018497,1.020247,,,,
69806-50-4,Fluazifop-butyl,401.0,33.634,78.67,204.014,5.545975,5.589679,5.684929,,,,
188489-07-8,Flufenpyr-ethyl,375.0,13.168,139.363,2589.057,18.497938,18.497938,18.497938,,,,
69806-40-2,Haloxyfop-methyl,467.0,29.403,61.48,134.43,9.586777,9.676382,9.85652,,,,
67485-29-4,Hydramethylnon,4.38,4.78,7.838,13.343,0.041418,0.066654,0.105799,,,,
630-56-8,Hydroxyprogesterone caproate,195.0,13.638,18.802,32.18,3.039291,3.072344,3.10245,,,,
473289-62-2,Ilepatril,5.55,3.332,6.309,10.363,24.67856,24.720376,24.815866,,,,
186392-65-4,Ingliforib,2.09,4.727,9.176,19.267,0.177244,0.180951,0.187613,,,,
125225-28-7,Ipconazole,101.0,27.727,53.269,105.79,2.201351,2.214853,2.239905,,,,
25311-71-1,Isofenphos,158.0,28.77,57.399,115.776,3.367926,3.39238,3.440642,,,,
33820-53-0,Isopropalin,12.5,17.836,28.211,56.13,0.004356,0.006981,0.010051,,,,
59227-89-3,Laurocapram,9.8,10.323,18.785,52.893,0.25803,0.284588,0.318353,,,,
79794-75-5,Loratadine,33.9,13.559,18.848,41.496,0.482199,0.494539,0.50336,,,,
1634-78-2,Malaoxon,55.9,3.828,6.631,10.221,33.037846,33.066242,33.125406,,,,
2919-66-6,Melengestrol acetate,41.4,12.815,22.605,56.558,1.240494,1.252825,1.268515,,,,
16752-77-5,Methomyl,2.05,2.461,5.21,9.653,0.918646,0.919636,0.922038,,,,
134-20-3,Methyl 2-aminobenzoate,246.0,15.532,39.314,66.898,51.923695,51.923695,52.002095,,,,
4707-47-5,"Methyl 2,4-dihydroxy-3,6-dimethylbenzoate",268.0,27.67,47.232,115.269,52.632746,52.803986,53.009078,,,,
493-52-7,Methyl red,11.1,15.567,22.394,35.522,0.457124,0.459276,0.461829,,,,
119-36-8,Methyl salicylate,817.0,21.587,31.211,49.181,72.367787,72.436882,72.521186,,,,
61-73-4,Methylene blue,13.9,3.832,6.626,10.372,7.324615,7.333779,7.352272,,,,
90-94-8,Michler's ketone,39.2,28.828,52.792,106.065,0.719986,0.726176,0.736422,,,,
103-69-5,N-ethylaniline,21.8,11.416,21.176,42.024,1.705013,1.706594,1.709403,,,,
872-50-4,N-methyl-2-pyrrolidone,0.041,0.041,0.486,3.555,0.202253,0.205778,0.250638,,,,
90-30-2,N-phenyl-1-naphthylamine,57.9,24.507,34.802,49.0,0.56507,0.570829,0.579179,,,,
63449-68-3,Naphthalen-2-yl 2-aminobenzoate,846.0,32.438,63.897,129.837,7.629913,7.710264,7.863704,,,,
439687-69-1,Nelivaptan,35.3,3.96,8.245,15.626,5.062222,5.103541,5.198197,,,,
59-67-6,Nicotinic acid,3.54,1.407,5.99,16.93,1.573539,1.575827,1.588402,,,,
110-25-8,Oleyl sarcosine,41.7,17.32,31.561,65.876,0.051495,0.083423,0.133818,,,,
501027-49-2,Pd-0333941,3.4,14.17,20.291,73.352,0.01539,0.01653,0.01721,,,,
1114-71-2,Pebulate,159.0,23.883,32.991,47.613,2.736616,3.521769,4.496905,,,,
460081-99-6,Pharmagsid_48510,7.69,13.432,18.724,49.066,0.181406,0.185049,0.187369,,,,
143-74-8,Phenol red,1.1,6.259,9.408,14.757,0.235409,0.235965,0.236736,,,,
81-90-3,Phenolphthalin,1.85,7.858,14.695,27.322,0.0467,0.048052,0.050596,,,,
17696-62-7,Phenylparaben,865.0,24.012,34.27,51.515,30.166574,30.223598,30.296378,,,,
117428-22-5,Picoxystrobin,57.1,22.989,44.124,83.941,0.695896,0.70483,0.722144,,,,
112529-15-4,Pioglitazone hydrochloride,8.92,5.544,10.749,22.391,0.179757,0.186673,0.199161,,,,
625114-41-2,Piragliatin,6.26,2.802,5.665,9.586,1.173318,1.174858,1.178705,,,,
32809-16-8,Procymidone,5.32,9.893,17.757,25.47,0.225564,0.226233,0.22799,,,,
1918-16-7,Propachlor,69.7,6.376,10.32,19.238,26.995707,27.02639,27.067331,,,,
2312-35-8,Propargite,24.0,14.024,19.638,36.528,0.321236,0.326119,0.330347,,,,
60207-90-1,Propiconazole,17.0,12.587,17.856,24.948,0.527959,0.529395,0.531511,,,,
121-79-9,Propyl gallate,49.7,21.187,58.428,161.142,1.138643,1.142843,1.154424,,,,
82640-04-8,Raloxifene hydrochloride,43.7,4.635,9.444,17.351,1.454463,1.500226,1.604434,,,,
501-36-0,Resveratrol,62.9,41.166,98.193,285.167,0.374348,0.541585,0.894924,,,,
180084-01-9,Sb236057a,4.65,8.275,15.241,26.036,0.646369,0.656392,0.676739,,,,
26259-45-0,Secbumeton,6.53,18.109,29.519,41.838,0.2972,0.297759,0.298957,,,,
2492-26-4,Sodium 2-mercaptobenzothiolate,41.7,20.383,38.659,114.787,0.921315,0.925062,0.930127,,,,
824-78-2,Sodium 4-nitrophenolate,48.1,5.351,23.815,51.2,7.470517,7.479135,7.534738,,,,
3689-24-5,Sulfotepp,101.0,19.735,34.385,67.16,2.611494,2.627123,2.650896,,,,
4065-45-6,Sulisobenzone,1.05,6.713,11.781,23.976,0.052739,0.054773,0.057792,,,,
13071-79-9,Terbufos,32.5,16.424,23.269,31.998,0.561727,0.563591,0.56644,,,,
57-85-2,Testosterone propionate,427.0,29.957,58.259,116.389,0.57551,0.821804,1.287708,,,,
36062-04-1,Tetrahydrocurcumin,173.0,7.213,10.523,16.897,15.462595,15.558315,15.674749,,,,
83-67-0,Theobromine,396.0,1.219,4.369,9.709,791.873589,792.739037,797.023542,,,,
137-26-8,Thiram,816.0,24.223,107.689,386.082,0.245587,0.362793,0.922882,,,,
189003-92-7,Trelanserin,7.06,5.008,7.804,11.728,0.866054,0.871337,0.880151,,,,
24017-47-8,Triazophos,30.2,12.8,17.968,25.203,1.855658,1.86091,1.868296,,,,
52-68-6,Trichlorfon,31.7,3.007,5.786,9.583,19.532836,19.549613,19.588744,,,,
141517-21-7,Trifloxystrobin,466.0,20.895,48.597,110.587,9.558163,9.690562,10.003692,,,,
2451-62-9,Triglycidyl isocyanurate,180.0,3.898,7.439,11.715,116.501793,116.625848,116.93457,,,,
95266-40-3,Trinexapac-ethyl,3.82,2.229,5.053,9.857,0.443789,0.446502,0.453555,,,,
101-20-2,Triclocarban,9.45,16.263,22.391,35.279,0.071356,0.07382,0.076361,,,,
104-66-5,"1,2-diphenoxyethane",18.51,24.334,32.817,45.866,0.061494,0.07753,0.09718,,,,
105-13-5,(4-methoxyphenyl)methanol,90.03,4.397,8.875,15.849,115.803844,115.809367,115.932917,,,,
106-25-2,"(2z)-3,7-dimethylocta-2,6-dien-1-ol",1.57,18.25,28.105,45.832,0.000428,0.000606,0.000853,,,,
1071-93-8,Hexanedihydrazide,0.602,0.983,3.255,7.734,0.840833,0.842193,0.847626,,,,
108612-45-9,Mizolastine,6.0,7.115,11.116,23.224,0.232503,0.236581,0.24098,,,,
111-40-0,Diethylenetriamine,2.003,0.033,0.456,3.149,1.09421,1.112686,1.391105,,,,
111-76-2,2-butoxyethanol,0.852,2.015,5.13,10.426,0.566991,0.56758,0.56937,,,,
124-07-2,Octanoic acid,5.626,16.477,26.336,61.846,0.002585,0.004625,0.006752,,,,
125116-23-6,Metconazole,16.7,16.689,24.969,45.027,0.436902,0.439459,0.442305,,,,
149-57-5,2-ethylhexanoic acid,1.715,14.416,23.031,36.217,0.209099,0.209318,0.209678,,,,
169590-42-5,Celecoxib,25.7,23.079,47.793,89.7,0.088894,0.091482,0.097415,,,,
2226-96-2,"4-hydroxy-2,2,6,6-tetramethylpiperidin-1-yl)oxidanyl",10.4,4.06,8.496,14.445,9.887585,9.88786,9.898967,,,,
2597-03-7,Phenthoate,168.0,15.856,23.848,41.731,4.672197,4.701825,4.736676,,,,
2610-11-9,C.i. direct red 81 disodium salt,1.492,3.583,8.043,17.332,8.8e-05,0.000173,0.000369,,,,
2943-75-1,Triethoxyoctylsilane,11.06,17.709,26.88,37.136,0.158693,0.159236,0.160255,,,,
3445-11-2,1-(2-hydroxyethyl)pyrrolidin-2-one,0.156,0.165,1.123,4.761,0.374288,0.37651,0.393349,,,,
3913-02-8,2-butyloctan-1-ol,0.658,0.049,1.542,137.78,0.007617,0.007652,0.008953,,,,
41481-66-7,"4,4'-sulfonylbis[2-(prop-2-en-1-yl)phenol]",84.7,8.581,12.442,18.577,7.956269,7.980442,8.013374,,,,
4394-85-8,4-morpholinecarboxaldehyde,0.402,0.032,0.52,3.782,0.463999,0.471046,0.596972,,,,
5232-99-5,"Ethyl 2-cyano-3,3-diphenylacrylate",161.3,24.751,50.264,99.44,1.705607,1.726287,1.769393,,,,
5915-41-3,Terbuthylazine,4.1,14.094,21.16,34.822,0.233289,0.233747,0.234332,,,,
6259-76-3,Hexyl salicylate,191.4,42.163,97.371,323.91,0.995965,1.488403,2.410323,,,,
64-17-5,Ethanol,3.958,0.032,0.667,5.874,0.718647,0.727573,0.929884,,,,
64091-91-4,4-(n-methyl-n-nitrosamino)-1-(3-pyridyl)-1-butanone,4.538,3.888,8.037,12.968,4.429094,4.429654,4.434977,,,,
6425-39-4,"4,4'-(oxydiethylene)bis(morpholine)",2.573,1.557,4.174,8.455,3.266288,3.269748,3.281234,,,,
67-63-0,Isopropanol,0.218,0.155,1.438,7.259,0.163849,0.164715,0.173655,,,,
72-33-3,Mestranol,10.2,14.691,20.499,34.683,0.275411,0.276547,0.277644,,,,
81-07-2,Saccharin,1.917,1.782,4.882,11.257,0.496755,0.498979,0.505808,,,,
88-27-7,"2,6-di-tert-butyl-4-[(dimethylamino)methyl]phenol",1.55,4.119,8.059,17.375,0.73787,0.739487,0.742372,,,,
91-76-9,"6-phenyl-1,3,5-triazine-2,4-diamine",1.18,3.532,6.738,12.377,0.542228,0.54316,0.545018,,,,
97-74-5,Tetramethylthiuram monosulfide,18.06,3.752,6.632,10.544,13.667504,13.678138,13.700138,,,,
97-78-9,N-dodecanoyl-n-methylglycine,42.07,31.489,61.509,128.265,0.161298,0.164928,0.171576,,,,
5124-25-4,C.i.disperse yellow 42,109.1,36.92,80.765,198.751,1.062743,1.536976,2.485713,,,,
104-40-5,4-n-nonylphenol,62.6,5.724,14.385,36.309,0.432921,0.440435,0.459261,,,,
